,Unnamed: 0,product_id,survey_id,p1,p2,y,a1,a2,p75_25,p25_75,p64_36,p36_64,p50_50,p70_25,p25_70,p59_36,p36_59,p45_45,p85_25,p25_85,p74_36,p36_74,p55_55,p0_110,p110_0,p0_120,p120_0
0,0,2538111,358962738,0.05347642274337133,0.10071725530575941,0,0.3843620128102035,0.015179061912260094,0.06913627840861884,0.10540099038256702,0.07682285432878168,0.09724725105649633,0.08666007546164108,0.07263955952877287,0.10540099038256702,0.08025954488916436,0.09724725105649633,0.0904583353566867,0.06269836318825188,0.10540099038256702,0.06983164460109684,0.09724725105649633,0.08303060380498165,0.125,0.047864515496697034,0.125,0.04259618671331458
1,1,3409581,358962738,0.07840445255859195,0.06250764657413697,0,0.1737818097496892,0.28768491918354333,0.09140230632895517,0.11532294082646638,0.09689882977348283,0.1104824853082558,0.10380516093847073,0.0939383790471108,0.11532294082646638,0.09926303359820451,0.1104824853082558,0.10623240276970697,0.086299425241036,0.11532294082646638,0.09190630463684323,0.1104824853082558,0.10126081695903588,0.125,0.07321343829604937,0.125,0.06808031682827966
2,2,3819246,358962738,0.06438514889746554,0.043426936395405596,0,0.28389597898399893,0.4814113117906206,0.07907769991646779,0.11013466902106783,0.08589824444730307,0.10313479613583842,0.09469241326640351,0.08205377234608928,0.11013466902106783,0.08903122415759626,0.10313479613583842,0.09773755090456618,0.07320499681752357,0.11013466902106783,0.07966348373164157,0.10313479613583842,0.09155250024016426,0.125,0.05882075275719911,0.125,0.05357206011121706
3,3,3918030,358962738,0.11929426456350908,0.13159504541923567,0,-0.07414935043548657,-0.1482886437995692,0.12467635701413718,0.12749518920428807,0.12628867318672493,0.1278461245498576,0.12751105941297394,0.12548966761109087,0.12749518920428807,0.12677158364802688,0.1278461245498576,0.1277096282766412,0.12283745025834049,0.12749518920428807,0.12483905201159522,0.1278461245498576,0.12713190435898244,0.125,0.11659044480157155,0.125,0.1134442389949083
4,4,6445648,358962738,0.2556154141929702,0.14186132555832495,0,-0.5801885864465522,-0.19574451147398036,0.22247846628067763,0.1559875347545081,0.207699867933776,0.17004303062269382,0.18866431990429144,0.21551598015152892,0.1559875347545081,0.20094729039307643,0.17004303062269382,0.18218789324399237,0.23558405096101045,0.1559875347545081,0.2210975671100629,0.17004303062269382,0.19542948734412158,0.125,0.26860612644607296,0.125,0.2806418980723981
5,5,7253682,358962738,0.04656696909778163,0.055163946232001666,1,0.4572773119429844,0.35545734195927325,0.06271133277390809,0.10231021442921508,0.07051391788594681,0.0929742436104117,0.08144077506961596,0.06619933847980222,0.10231021442921508,0.0743898927216479,0.0929742436104117,0.08529904551916791,0.05584058687769517,0.10231021442921508,0.06340346413165986,0.0929742436104117,0.07751951102075841,0.125,0.040909548292457916,0.125,0.035882848678594106
6,6,7662326,358962738,0.10802503408962107,0.08874200046017665,0,-0.013788683833979312,0.08975522249879353,0.11561349240973055,0.12425193671378883,0.11838054923139174,0.12321873116828247,0.12119121352853526,0.11693990193380069,0.12425193671378883,0.11942008791369142,0.12321873116828247,0.12198473124192746,0.11279883835004244,0.12425193671378883,0.11587789382455263,0.12321873116828247,0.12023374299832548,0.125,0.1044803617157203,0.125,0.10067116634535458
7,7,7821483,358962738,0.2742322938566892,0.37598584405495916,0,-0.6311904927708577,-0.8854547020709412,0.2349040668675048,0.15909652466809862,0.21749706321259296,0.17505333754816374,0.1960349824180682,0.2272234009018043,0.15909652466809862,0.20991734267859227,0.17505333754816374,0.18839041268731124,0.2507362883061,0.15909652466809862,0.2333805899525478,0.17505333754816374,0.20384143327363044,0.125,0.2895148121942317,0.125,0.3051112842559337
8,8,8556771,358962739,0.06453406144334435,0.17808383439113556,1,0.6087024401644936,-0.012309179461883146,0.09001063694638498,0.15817958926582942,0.10279815615415556,0.1410373515580998,0.12101000783948908,0.09569611439979366,0.15817958926582942,0.10925587435652033,0.1410373515580998,0.1280885475885388,0.07909606357096845,0.15817958926582942,0.09114628972954074,0.1410373515580998,0.11446605636929673,0.2,0.056080895660198755,0.2,0.048422727862144105
9,9,8587406,358962739,0.09296249688188132,0.04491705253548655,0,0.3976293288670927,0.807853585770031,0.11657519199695397,0.1709386847848753,0.12810126024305807,0.15868307572620866,0.14290392274235972,0.12181241370313707,0.1709386847848753,0.1333563539700505,0.15868307572620866,0.14856082585902658,0.10703315411437993,0.1709386847848753,0.11762417534063016,0.15868307572620866,0.1375839933673174,0.2,0.08441506334994342,0.2,0.07626312785633257
10,10,8612570,358962739,0.3112959040350917,0.3310607675402423,0,-0.4159936232154201,-0.4602554480963955,0.2861873221777504,0.2298681319423506,0.27456202074184216,0.2430544649852184,0.25900016814486276,0.28079362857326795,0.2298681319423506,0.2691561332851532,0.2430544649852184,0.2532712276310052,0.29683161722821644,0.2298681319423506,0.2850657905268823,0.2430544649852184,0.2647220902038733,0.2,0.3205809446927346,0.2,0.32913143394355704
11,11,8659871,358962739,0.2446232024660888,0.21903152733139664,0,-0.2369051600950182,-0.1551369197454793,0.2383447402063308,0.21606129415613737,0.23457319585798783,0.22178330327730697,0.2288231510755033,0.23673543761107543,0.21606129415613737,0.2326225535686401,0.22178330327730697,0.22624810731275505,0.24103554290588336,0.21606129415613737,0.23804191443021624,0.22178330327730697,0.23099073563425618,0.2,0.2463039733041514,0.2,0.24739918498350985
12,12,8729667,358962739,0.2865843351735937,0.22690681820173905,0,-0.3534329857211479,-0.1801520384662731,0.26888210867257983,0.2249522998508073,0.25996536700295636,0.23544180445316598,0.24826275019778515,0.26496240571272595,0.2249522998508073,0.2556090848196358,0.23544180445316598,0.2438312916086744,0.27600362218055186,0.2249522998508073,0.26812182997273054,0.23544180445316598,0.2522371244252565,0.2,0.2926191229929718,0.2,0.29878352535445646
13,13,7535716,358962740,0.29875097172115606,0.06889897003249174,0,-0.5917456542834105,0.22544356484398795,0.25700208562429516,0.17816851396976155,0.2388766220080284,0.19447980526765196,0.21619613420613337,0.2486608521909078,0.17816851396976155,0.23081847406701933,0.19447980526765196,0.20862847237805668,0.27331523208030445,0.17816851396976155,0.255352634865108,0.19447980526765196,0.22430633800652572,0.14285714285714285,0.3154995375482184,0.14285714285714285,0.3320182311933227
